epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4548.03,0.79947,0.48852,0.91054,0.93228,0.86779,0.93511,0.69227,0.7519,0.42659,0.89689,0.000715761,0.000715761,0.000715761
56,4628.11,0.79517,0.48606,0.91197,0.91649,0.85886,0.92859,0.68558,0.76299,0.43219,0.89815,0.000706335,0.000706335,0.000706335
57,4708.32,0.79593,0.48318,0.90923,0.91518,0.86856,0.93388,0.69251,0.75031,0.42489,0.89596,0.00069682,0.00069682,0.00069682
58,4788.28,0.78443,0.48253,0.90982,0.92402,0.85916,0.93493,0.69414,0.7553,0.43039,0.8963,0.000687222,0.000687222,0.000687222
59,4868.23,0.78797,0.47913,0.90817,0.91879,0.87597,0.93566,0.69559,0.7554,0.4257,0.89614,0.000677543,0.000677543,0.000677543
60,4948.12,0.77896,0.47455,0.90479,0.91744,0.86875,0.93867,0.69697,0.73727,0.41994,0.8916,0.000667789,0.000667789,0.000667789
61,5028.24,0.77939,0.47433,0.90426,0.90852,0.88583,0.93635,0.69384,0.73479,0.41911,0.89207,0.000657963,0.000657963,0.000657963
62,5108.37,0.78129,0.4762,0.90661,0.90466,0.88406,0.93584,0.69603,0.73943,0.4186,0.89265,0.000648071,0.000648071,0.000648071
63,5188.34,0.77647,0.47358,0.90383,0.90842,0.87542,0.93831,0.70174,0.74014,0.41802,0.89347,0.000638115,0.000638115,0.000638115
64,5269.06,0.76827,0.46416,0.9015,0.91012,0.89703,0.93962,0.70505,0.7333,0.41464,0.88957,0.000628101,0.000628101,0.000628101
65,5349.35,0.76972,0.46551,0.90038,0.91553,0.87628,0.93884,0.70741,0.72882,0.40846,0.8886,0.000618034,0.000618034,0.000618034
66,5432.39,0.76451,0.46487,0.90034,0.91487,0.8782,0.94085,0.7069,0.72883,0.41231,0.89046,0.000607916,0.000607916,0.000607916
67,5515.43,0.76482,0.46344,0.90109,0.92537,0.87911,0.94155,0.70762,0.72152,0.4075,0.88812,0.000597754,0.000597754,0.000597754
68,5599.35,0.75788,0.45951,0.89769,0.94134,0.85788,0.93913,0.70911,0.71977,0.40519,0.88876,0.000587551,0.000587551,0.000587551
